x,y,steering,heading
15.09502664,3.766476741,-0.664486885,-0.674389629
15.09744987,3.76296669,-0.664486885,-0.676139583
15.09986747,3.759451661,-0.664486885,-0.677889907
15.10227701,3.75593519,-0.664486885,-0.679638847
15.1046797,3.752415533,-0.664486885,-0.68138728
15.10707499,3.748893509,-0.664486885,-0.683134805
15.10946308,3.745368828,-0.664486885,-0.684881576
15.11184463,3.741840567,-0.664486885,-0.686628057
15.11421976,3.738308523,-0.664486885,-0.688374355
15.11658772,3.734773831,-0.664486885,-0.690119915
15.1189498,3.731234561,-0.664486885,-0.691865697
15.12130344,3.727694575,-0.664486885,-0.693609804
15.12365169,3.724149309,-0.664486885,-0.695354491
15.12599419,3.720599282,-0.664486885,-0.697099507
15.12832526,3.717053143,-0.664486885,-0.698840612
15.13065155,3.713500823,-0.664486885,-0.700582761
15.13297357,3.709941494,-0.664486885,-0.702326358
15.13528432,3.706385917,-0.664486885,-0.704066144
